state_abbreviation,tax_code,unique_tax_id,tax_name,sub_tax_desc
PA,TAX3473,42-071-1215344-LST-362203,"Mount Joy, BORO of - LST",SCHOOL
PA,TAX6240,42-049-1216424-LST-259103,"Union, TWP of - LST (259103)",MUNICIPAL
PA,TAX6240,42-049-1216424-LST-259103,"Union, TWP of - LST (259103)",SCHOOL
PA,TAX697,42-083-1216781-LST-426003,"Ceres, TWP of - LST (426003)",MUNICIPAL
PA,TAX697,42-083-1216781-LST-426003,"Ceres, TWP of - LST (426003)",SCHOOL
PA,TAX5403,42-031-1215088-EIT-169003,"Rimersburg, BORO of - EIT",MUNICIPAL
PA,TAX5403,42-031-1215088-EIT-169003,"Rimersburg, BORO of - EIT",SCHOOL
PA,TAX1381,42-021-1215019-EIT-112203,"Ehrenfeld, BORO of - EIT",MUNICIPAL
PA,TAX1381,42-021-1215019-EIT-112203,"Ehrenfeld, BORO of - EIT",SCHOOL
PA,TAX2931,42-125-1215670-LST-631503,"Long Branch, BORO of - LST",MUNICIPAL
PA,TAX2931,42-125-1215670-LST-631503,"Long Branch, BORO of - LST",SCHOOL
PA,TAX4911,42-011-1215938-LST-066503,"Oley, TWP of - LST",MUNICIPAL
PA,TAX4911,42-011-1215938-LST-066503,"Oley, TWP of - LST",SCHOOL
PA,TAX285,42-003-1214766-LST-027753,"Bell Acres, BORO of - LST",MUNICIPAL
PA,TAX285,42-003-1214766-LST-027753,"Bell Acres, BORO of - LST",SCHOOL
PA,TAX5446,42-015-1214955-LST-083004,"Rome, BORO of - LST",MUNICIPAL
PA,TAX5446,42-015-1214955-LST-083004,"Rome, BORO of - LST",SCHOOL
PA,TAX6580,42-029-1215079-LST-159002,"West Chester, BORO of - LST",MUNICIPAL
PA,TAX6580,42-029-1215079-LST-159002,"West Chester, BORO of - LST",SCHOOL
PA,TAX1651,42-037-1216280-LST-197503,"Franklin, TWP of - LST (197503)",MUNICIPAL
PA,TAX1651,42-037-1216280-LST-197503,"Franklin, TWP of - LST (197503)",SCHOOL
PA,TAX3382,42-011-1214922-EIT-063003,"Mohnton, BORO of - EIT",MUNICIPAL
PA,TAX3382,42-011-1214922-EIT-063003,"Mohnton, BORO of - EIT",SCHOOL
PA,TAX29,42-015-1214948-EIT-086653,"Alba, BORO of - EIT",MUNICIPAL
PA,TAX29,42-015-1214948-EIT-086653,"Alba, BORO of - EIT",SCHOOL
PA,TAX3665,42-017-1216025-LST-092353,"Newtown, TWP of - LST (092353)",MUNICIPAL
PA,TAX3665,42-017-1216025-LST-092353,"Newtown, TWP of - LST (092353)",SCHOOL
PA,TAX6794,42-095-1215508-EIT-485603,"Wind Gap, BORO of - EIT",MUNICIPAL
PA,TAX6794,42-095-1215508-EIT-485603,"Wind Gap, BORO of - EIT",SCHOOL
PA,TAX1986,42-051-1216436-EIT-268003,"Henry Clay, TWP of - EIT",MUNICIPAL
PA,TAX1986,42-051-1216436-EIT-268003,"Henry Clay, TWP of - EIT",SCHOOL
PA,TAX5368,42-017-1214977-EIT-098403,"Richlandtown, BORO of - EIT",MUNICIPAL
PA,TAX5368,42-017-1214977-EIT-098403,"Richlandtown, BORO of - EIT",SCHOOL
PA,TAX1467,42-105-1216971-EIT-531304,"Eulalia, TWP of - EIT",MUNICIPAL
PA,TAX1467,42-105-1216971-EIT-531304,"Eulalia, TWP of - EIT",SCHOOL
PA,TAX1822,42-063-1216544-LST-327303,"Green, TWP of - LST (327303)",MUNICIPAL
PA,TAX1822,42-063-1216544-LST-327303,"Green, TWP of - LST (327303)",SCHOOL
PA,TAX5869,42-047-1216406-EIT-246003,"Spring Creek, TWP of - EIT (246003)",MUNICIPAL
PA,TAX5869,42-047-1216406-EIT-246003,"Spring Creek, TWP of - EIT (246003)",SCHOOL
PA,TAX2291,42-079-1215394-LST-403302,"Jeddo, BORO of - LST",MUNICIPAL
PA,TAX2291,42-079-1215394-LST-403302,"Jeddo, BORO of - LST",SCHOOL
PA,TAX1438,42-073-1214872-LST-372003,"Ellwood City, BORO of - LST (372003)",MUNICIPAL
PA,TAX1438,42-073-1214872-LST-372003,"Ellwood City, BORO of - LST (372003)",SCHOOL
PA,TAX2918,42-035-1216266-LST-183602,"Logan, TWP of - LST (183602)",MUNICIPAL
PA,TAX2918,42-035-1216266-LST-183602,"Logan, TWP of - LST (183602)",SCHOOL
PA,TAX3113,42-007-1215878-LST-045853,"Marion, TWP of - LST (045853)",MUNICIPAL
PA,TAX3113,42-007-1215878-LST-045853,"Marion, TWP of - LST (045853)",SCHOOL
PA,TAX1844,42-085-1215440-LST-432903,"Grove City, BORO of - LST",MUNICIPAL
PA,TAX1844,42-085-1215440-LST-432903,"Grove City, BORO of - LST",SCHOOL
PA,TAX384,42-125-1217182-EIT-633903,"Blaine, TWP of - EIT",MUNICIPAL
PA,TAX384,42-125-1217182-EIT-633903,"Blaine, TWP of - EIT",SCHOOL
PA,TAX3439,42-059-1216495-EIT-303503,"Morgan, TWP of - EIT",MUNICIPAL
PA,TAX3439,42-059-1216495-EIT-303503,"Morgan, TWP of - EIT",SCHOOL
PA,TAX6895,42-133-1215772-EIT-672203,"Yorkana, BORO of - EIT",MUNICIPAL
PA,TAX6895,42-133-1215772-EIT-672203,"Yorkana, BORO of - EIT",SCHOOL
PA,TAX1929,42-021-1215024-EIT-111203,"Hastings, BORO of - EIT",MUNICIPAL
PA,TAX1929,42-021-1215024-EIT-111203,"Hastings, BORO of - EIT",SCHOOL
PA,TAX5903,42-051-1216446-EIT-260303,"Springhill, TWP of - EIT (260303)",MUNICIPAL
PA,TAX5903,42-051-1216446-EIT-260303,"Springhill, TWP of - EIT (260303)",SCHOOL
PA,TAX5406,42-065-1216570-LST-338003,"Ringgold, TWP of - LST",MUNICIPAL
PA,TAX5406,42-065-1216570-LST-338003,"Ringgold, TWP of - LST",SCHOOL
PA,TAX2069,42-047-1216401-LST-330703,"Horton, TWP of - LST (330703)",MUNICIPAL
PA,TAX2069,42-047-1216401-LST-330703,"Horton, TWP of - LST (330703)",SCHOOL
PA,TAX2003,42-073-1216654-EIT-374003,"Hickory, TWP of - EIT (374003)",MUNICIPAL
PA,TAX2003,42-073-1216654-EIT-374003,"Hickory, TWP of - EIT (374003)",SCHOOL
PA,TAX1222,42-095-1215492-EIT-480803,"East Bangor, BORO of - EIT",MUNICIPAL
PA,TAX1222,42-095-1215492-EIT-480803,"East Bangor, BORO of - EIT",SCHOOL
PA,TAX6230,42-119-1217135-EIT-604003,"Union, TWP of - EIT (604003)",MUNICIPAL
PA,TAX6230,42-119-1217135-EIT-604003,"Union, TWP of - EIT (604003)",SCHOOL
PA,TAX6630,42-035-1216271-LST-179003,"West Keating, TWP of - LST",MUNICIPAL
PA,TAX6630,42-035-1216271-LST-179003,"West Keating, TWP of - LST",SCHOOL
PA,TAX5307,42-055-1216469-EIT-289003,"Quincy, TWP of - EIT",MUNICIPAL
PA,TAX5307,42-055-1216469-EIT-289003,"Quincy, TWP of - EIT",SCHOOL
PA,TAX525,42-091-1215465-LST-460504,"Bryn Athyn, BORO of - LST",MUNICIPAL
PA,TAX525,42-091-1215465-LST-460504,"Bryn Athyn, BORO of - LST",SCHOOL
PA,TAX3798,42-107-1217010-EIT-546103,"Norwegian, TWP of - EIT",MUNICIPAL
PA,TAX3798,42-107-1217010-EIT-546103,"Norwegian, TWP of - EIT",SCHOOL
PA,TAX892,42-049-1216408-LST-251453,"Concord, TWP of - LST (251453)",MUNICIPAL
PA,TAX892,42-049-1216408-LST-251453,"Concord, TWP of - LST (251453)",SCHOOL
PA,TAX5223,42-089-1216843-EIT-455203,"Polk, TWP of - EIT (455203)",MUNICIPAL
PA,TAX5223,42-089-1216843-EIT-455203,"Polk, TWP of - EIT (455203)",SCHOOL
PA,TAX5319,42-097-1216925-LST-197503,"Ralpho, TWP of - LST",MUNICIPAL
PA,TAX5319,42-097-1216925-LST-197503,"Ralpho, TWP of - LST",SCHOOL
PA,TAX1217,42-071-1216620-EIT-362303,"Earl, TWP of - EIT (362303)",MUNICIPAL
PA,TAX1217,42-071-1216620-EIT-362303,"Earl, TWP of - EIT (362303)",SCHOOL
PA,TAX4921,42-061-1216516-LST-312503,"Oneida, TWP of - LST",MUNICIPAL
PA,TAX4921,42-061-1216516-LST-312503,"Oneida, TWP of - LST",SCHOOL
PA,TAX119,42-049-1216407-LST-259703,"Amity, TWP of - LST (259703)",MUNICIPAL
PA,TAX119,42-049-1216407-LST-259703,"Amity, TWP of - LST (259703)",SCHOOL
PA,TAX6817,42-085-1215453-LST-432903,"Wolf Creek, TWP of - LST",MUNICIPAL
PA,TAX6817,42-085-1215453-LST-432903,"Wolf Creek, TWP of - LST",SCHOOL
PA,TAX3516,42-019-1216062-EIT-107503,"Muddycreek, TWP of - EIT",MUNICIPAL
PA,TAX3516,42-019-1216062-EIT-107503,"Muddycreek, TWP of - EIT",SCHOOL
PA,TAX3209,42-123-1217169-LST-628302,"Mead, TWP of - LST",MUNICIPAL
PA,TAX3209,42-123-1217169-LST-628302,"Mead, TWP of - LST",SCHOOL
PA,TAX2859,42-117-1217115-LST-597003,"Liberty, TWP of - LST (597003)",MUNICIPAL
PA,TAX2859,42-117-1217115-LST-597003,"Liberty, TWP of - LST (597003)",SCHOOL
PA,TAX1947,42-079-1215392-EIT-403302,"Hazleton, City of - EIT",MUNICIPAL
PA,TAX1947,42-079-1215392-EIT-403302,"Hazleton, City of - EIT",SCHOOL
PA,TAX2922,42-009-1215901-EIT-051003,"Londonderry, TWP of - EIT (051003)",MUNICIPAL
PA,TAX2922,42-009-1215901-EIT-051003,"Londonderry, TWP of - EIT (051003)",SCHOOL
PA,TAX6061,42-071-1215350-EIT-362303,"Terre Hill, BORO of - EIT",MUNICIPAL
PA,TAX6061,42-071-1215350-EIT-362303,"Terre Hill, BORO of - EIT",SCHOOL
PA,TAX2238,42-121-1217145-EIT-612203,"Irwin, TWP of - EIT",MUNICIPAL
